Cluster 0: ['import', 'export', 'inputs', 'attribute', 'ingredient', 'input', 'aspects', 'oversight', 'insight', 'aspect', 'analysis', 'element', 'manipulate', 'audit', 'aesthetics', 'approach', 'policy', 'component', 'involvement', 'analyze', 'manipulation', 'knowledge', 'complaint', 'accountability', 'museum', 'strategy', 'policies', 'process', 'processes', 'catalogue']
Cluster 1: ['teenagers', 'adults', 'highway', 'adult', 'highways', 'juvenile', 'disasters', 'teens', 'livestock', 'advanced', 'nhl', 'rural', 'tricks', 'challenges', 'mistakes', 'horsepower', 'highland', 'nba', 'distances', 'inspirational', 'obstacles', 'disaster', 'heights', 'teenage', 'toyota', 'distance', 'cowboy', 'teenager', 'nfl', 'teen']
Cluster 2: ['accelerated', 'continuing', 'cease', 'continue', 'upward', 'accelerate', 'continuation', 'altered', 'proceed', 'upwards', 'continued', 'enabling', 'altering', 'renewed', 'modify', 'initiated', 'remain', 'amend', 'atlanta', 'continues', 'commence', 'prohibited', 'extension', 'reform', 'expanded', 'revised', 'updated', 'initiate', 'decline', 'extend']
Cluster 3: ['joke', 'jewish', 'traders', 'jews', 'correctly', 'jokes', 'trader', 'permanently', 'racist', 'humour', 'proprietary', 'humorous', 'hilarious', 'definite', 'respectful', 'intentionally', 'humor', 'deliberately', '142', 'users', 'simple', 'explicit', 'neighborhood', 'comment', '##urer', 'similarly', 'specifically', 'strictly', 'comfortably', 'likewise']
Cluster 4: ['thicker', 'employ', 'wear', 'employing', 'thin', 'stiff', 'employs', 'introduce', 'requiring', 'thick', 'barely', 'require', 'employed', 'introducing', 'coarse', 'hardly', 'wore', 'requires', 'quicker', 'utilize', 'faster', 'needing', 'unnecessary', 'polite', 'encountered', 'excessive', 'reasonable', 'undertake', 'recreation', 'brushing']
Cluster 5: ['committees', 'meals', 'dinners', 'meal', 'committee', 'brushes', 'obligations', 'contractor', 'surveys', 'maps', 'brush', 'audit', 'inspections', 'dietary', 'periodic', 'schedules', 'contractors', 'survey', 'dinner', 'leaks', 'auditor', 'roofs', 'cruise', 'recipes', 'map', 'cruises', 'crew', 'commitments', 'schedule', 'friendships']
Cluster 6: ['wheels', 'dolls', 'adopt', 'wheel', 'babies', 'toys', 'oldest', 'mothers', 'battery', 'toy', 'elephant', 'doll', 'baby', 'infant', 'wii', 'adults', 'batteries', 'heads', 'sock', 'brushes', 'bear', 'adult', 'screen', 'develops', 'head', 'beds', 'face', 'egg', 'pens', 'owns']
Cluster 7: ['exchanges', 'exchange', 'watches', 'sessions', 'bonds', 'balls', 'lexington', 'obama', 'henry', 'distributions', 'session', 'traders', 'courts', 'orders', 'gate', 'council', 'watch', 'clock', 'liberty', 'edward', 'guards', 'bets', 'kings', 'temple', 'gates', 'barrels', 'alliance', 'loops', 'controllers', 'nathan']
Cluster 8: ['jun', 'cartridge', 'cartridges', 'coupe', 'exported', 'disk', 'imported', 'ferrari', 'fridge', 'discs', 'sedan', 'refrigerator', 'milton', 'disc', 'oct', 'arcade', 'bradford', 'sept', 'dvd', 'jul', 'pcs', 'f1', '£', 'typical', 'pc', 'nov', 'mario', 'cabinet', 'dec', 'mushrooms']
Cluster 9: ['accents', 'enjoying', 'medals', 'publications', 'earrings', 'papers', 'enjoyed', 'calculations', 'newspapers', 'ornaments', 'perspectives', 'brackets', 'conferences', 'decorations', 'formulas', 'scored', 'medal', 'schemes', 'magazines', 'articles', 'supplements', 'titles', 'capped', 'crystals', 'branches', 'bulbs', 'appointments', 'topped', 'arguments', 'accent']
Cluster 10: ['philippines', 'indonesia', 'singapore', 'netherlands', 'malaysia', 'malaysian', 'solutions', 'companies', 'solution', 'denmark', 'indonesian', 'importantly', 'moreover', 'portugal', 'furthermore', 'corporations', 'uae', 'wherein', 'comprehensive', 'danish', 'puerto', 'operators', 'cases', 'manila', 'applications', 'nz', 'swedish', 'uk', 'complications', 'croatia']
