Cluster 0: ['##stad', '##pan', '##dr', 'stomach', 'crust', 'liver', 'sheets', 'napkin', '##kan', 'toast', 'loaf', '##cloth', 'million', '##cos', 'carts', 'camp', 'sheet', 'expectation', 'cds', 'sandy', 'diet', 'hated', 'pie', 'plates', 'scarce', 'tape', 'discs', 'baked', 'facebook', 'disgusted']
Cluster 1: ['photographer', 'fireworks', 'intimidating', 'visually', 'photography', 'tent', 'dj', 'noticing', 'decatur', '1a', '2a', 'scenery', 'distract', 'individually', 'physically', 'distracting', 'images', 'distraction', 'observation', 'photographers', 'seeing', 'photo', 'experiencing', 'sights', 'hosting', 'reporting', 'overwhelming', 'hurricane', 'misleading', 'executive']
Cluster 2: ['taiwanese', 'cherry', 'label', 'vietnamese', 'chinese', 'celebrity', 'dutch', 'malaysian', 'credit', '##ae', '##nc', 'jewish', 'carrier', 'alcoholic', '##c', 'cable', 'bach', 'unexpected', 'cuisine', 'method', 'korea', 'bean', 'mandarin', 'sis', 'vet', 'korean', 'ju', 'routine', 'dan', 'vinyl']
Cluster 3: ['manhattan', 'abc', 'immensely', 'weekday', 'relaxation', '##nging', 'oak', 'decatur', 'glory', 'echo', 'lime', 'sofa', 'build', 'existing', 'ghost', 'marble', 'lonely', 'carving', 'jumping', 'samba', 'marathon', '##ub', 'daytime', 'duplicate', 'brick', 'write', 'nightly', 'sunday', 'plateau', 'replicate']
Cluster 4: ['harvest', 'ole', '##iol', 'el', 'ib', 'ol', 'vol', 'hazel', 'ethiopian', '##kla', '##hei', 'mit', 'porto', 'miller', 'ale', 'ul', '##rle', 'tate', 'abe', '##bb', 'baseball', 'outta', '##owe', 'john', 'nt', 'italian', 'golf', 'ounce', 'old', '##ega']
Cluster 5: ['##fat', '##rill', '##old', 'enough', 'impact', '##day', '##con', '##dur', '##lma', 'te', 'celebrated', 'returned', 'return', 'returning', '##don', 'bell', 'accomplished', 'inspiring', 'feels', 'more', '##pc', 'completed', 'manages', 'important', '##point', 'delivers', '##olt', 'concern', 'aspect', 'attended']
Cluster 6: ['madison', 'puddle', 'cindy', '##15', 'drives', 'traffic', 'drive', 'dozen', 'fifteen', 'pump', 'jones', 'paperwork', 'third', 'three', 'pumps', '##walk', 'twice', 'trucks', 'juan', 'fourth', 'february', 'premises', 'lane', '##3', '^', '##24', 'u', 'driven', '##oon', 'truck']
Cluster 7: ['nj', 'gates', 'bank', 'banks', 'preview', 'tattoos', 'link', 'bond', 'vine', 'min', 'possibility', 'bets', 'sync', 'discount', 'benefit', 'wheel', 'ci', 'links', 'ties', 'details', '##lib', 'favor', 'loan', '^', 'thoughts', 'breeze', 'tricks', 'cents', 'option', 'james']
Cluster 8: ['chandler', 'med', 'allergic', 'bowls', '##charged', 'imported', 'sells', 'sell', 'spec', 'bowl', 'pots', 'counted', 'charged', 'urbana', 'paying', 'pot', 'mort', 'outright', 'mead', '##worth', 'digest', 'spat', '##inate', '##market', 'import', 'matt', 'cash', '##aldi', 'pay', 'morton']
Cluster 9: ['dj', 'pillow', 'ling', 'photographer', 'sticky', 'digital', 'vendor', 'tenants', 'vendors', 'mongolian', 'cds', 'pastry', 'cookie', 'megan', 'frozen', 'djs', 'bonn', 'photographers', 'groom', 'flower', 'cushion', 'panda', 'bouquet', 'dancer', 'dancers', 'baked', 'bamboo', 'worker', 'singer', 'snow']
Cluster 10: ['dawn', 'san', 'http', 'bella', 'freeway', 'conference', 'assessment', 'behold', '##tel', 'honesty', 'ravi', 'las', 'engine', 'assured', 'consumer', 'confronted', 'sealed', 'caution', 'disconnected', 'reality', 'trains', '##sw', 'each', '45', '##mail', 'informed', 'www', 'describes', '00', '##tray']
