Cluster 0: ['horizontal', 'vertical', '##water', '##era', 'fine', 'dusty', 'steep', 'lavish', 'thriller', '##tera']
Cluster 1: ['hobby', 'mock', 'oversized', '##rri', 'toy', 'alien', 'rebel', 'fool', 'toys', 'dun']
Cluster 2: ['disabilities', 'disability', 'concussion', 'childhood', 'syndrome', '##worm', 'injuries', '##stick', 'victim', 'injury']
Cluster 3: ['yen', 'usd', 'welfare', 'credit', '##ᅥ', '##ᅧ', 'coins', '##ᅢ', '##ᅩ', 'enrollment']
Cluster 4: ['sponge', 'caravan', 'striped', 'lives', '##weight', 'mermaid', 'mosaic', '##fold', 'niche', 'folk']
Cluster 5: ['crawl', 'carving', 'imaging', 'explorer', 'camera', 'folder', 'carol', 'reproduction', 'typing', 'mri']
Cluster 6: ['##yne', '##pur', '##3', '##yn', '##opa', '##nia', '##2', '##21', '##36', '##quin']
Cluster 7: ['##coat', '##pha', 'porter', '##path', '##pres', '##gui', '##ister', '##entation', '##bbies', '##ph']
Cluster 8: ['pie', '##mg', 'salsa', 'poly', 'cheese', 'toxin', '##eum', '##oran', '##eme', 'carrot']
Cluster 9: ['##ask', 'combustion', '##writing', 'demolition', '##ume', 'speech', '##write', 'fabrication', 'suicide', '##icing']
Cluster 10: ['yesterday', 'evenly', 'annoying', 'delicious', 'absolutely', 'geek', 'energetic', 'clearly', 'ridiculous', 'comfortably']
Cluster 11: ['countryside', 'identity', 'citrus', 'identities', 'independence', 'cannabis', 'property', 'fridge', 'chest', 'boyfriend']
Cluster 12: ['##bula', '##ppa', '##spar', '##gno', '##gni', '##mun', '##sam', 'vaccines', 'vaccine', '##su']
Cluster 13: ['##´s', '##´', '##rie', '##hl', 'rm', '##rov', 'derby', 'kane', '##kins', 'project']
Cluster 14: ['spokesperson', 'spokesman', '##ized', '##cy', 'lobby', 'theme', '##omic', 'thanksgiving', '##ype', 'vapor']
Cluster 15: ['##bio', '##med', '##bino', 'gen', '##ns', '##bes', 'capital', 'structure', '##ope', 'nuclear']
Cluster 16: ['##metric', '##ient', '##ization', 'realistic', '##izing', 'simulations', 'resolution', '##meter', '##therapy', 'perfection']
Cluster 17: ['netflix', '##adi', '##asa', '##ddy', '##awa', '##ai', '##dp', 'youtube', 'maha', '##ang']
Cluster 18: ['quality', 'spokesman', 'access', 'accustomed', 'satisfaction', 'destroy', 'caliber', 'safety', 'accuracy', 'prevention']
Cluster 19: ['##walk', 'ada', 'bold', 'surveys', '##cula', 'zoom', 'scroll', 'survey', '##ways', 'conference']
Cluster 20: ['##och', '##sb', '##mu', '##atin', 'official', 'bulletin', '##ku', 'chairman', 'renamed', '##iom']
Cluster 21: ['tv', 'television', 'markets', 'market', 'boeing', 'airline', 'ourselves', 'nas', 'economies', 'respectively']
Cluster 22: ['az', 'etc', '##rgo', '##ars', '##ssa', '##tum', 'future', '##ul', '##nz', '##wed']
Cluster 23: ['fashion', 'armor', 'gear', '##umen', '##von', 'traction', 'overhaul', 'forests', 'cyber', 'equipped']
Cluster 24: ['levels', 'status', 'level', 'wealthy', 'situations', 'situation', 'class', 'challenges', 'material', 'materials']
Cluster 25: ['##burn', '##cam', '##dam', '##las', '##gis', '##stic', '##eth', '##stream', '##graph', 'aquarium']
Cluster 26: ['manuscript', '##59', '##7', '##9', '##8', 'blocks', 'accuracy', 'results', 'block', '##5']
Cluster 27: ['##any', 'rang', 'locker', '##achi', '##ache', '##lice', '##ista', 'spots', '##tt', '##iest']
Cluster 28: ['##bell', '##met', 'cathedral', '##lev', '##lc', 'tiffany', '##fold', '##vier', 'inclusive', 'zipper']
Cluster 29: ['deliberately', 'worth', 'there', '##vable', 'true', '##iti', '##ace', 'forever', '##ces', 'intentionally']
Cluster 30: ['beard', 'dye', '##ᅥ', '##kh', 'kidd', '£5', 'urine', 'panic', '£2', 'halt']
