Cluster 0: ['excuses', 'physically', 'excuse', '##gul', 'mushroom', 'apologies', 'apology', 'frankly', 'justified', 'mushrooms', 'apologize', 'justify', 'apologized', 'melting', '##rgan', 'crystal', 'twisted', 'mentally', 'spirit', 'garbage', 'crystals', 'saliva', 'fog', 'disappear', 'silly', 'ein', 'disappearing', 'crazy', 'numb', 'hollow']
Cluster 1: ['opportunity', 'opportunities', 'chance', 'consumer', 'latest', 'example', 'professionals', 'latter', 'option', 'opt', 'newest', 'media', 'innovative', 'instead', 'inexpensive', 'cheaper', 'outcome', 'criteria', 'expensive', 'provider', 'chances', 'simplicity', 'result', 'technology', 'succeed', 'device', 'final', 'results', 'finest', 'expense']
Cluster 2: ['beer', 'drinks', 'beverages', 'clients', 'djs', 'bartender', 'dj', 'vendors', 'cushion', 'client', 'mushroom', 'server', 'beverage', 'thicker', 'vendor', 'cushions', 'beers', 'pillow', 'farmers', 'smaller', 'downstairs', 'brewer', 'thinner', 'servers', 'bathrooms', 'tenants', 'saturday', 'monday', 'heavier', 'wednesday']
Cluster 3: ['plants', 'plant', 'potatoes', 'crafts', 'potato', 'craft', 'toys', 'pigs', 'define', 'babies', 'crabs', 'pig', 'ducks', 'birds', 'cats', 'paintings', 'pets', 'laid', 'lamb', 'animals', 'toy', 'dogs', 'ribs', 'kitty', 'lay', 'wheels', 'fish', 'hay', 'tack', 'tires']
Cluster 4: ['definitely', 'totally', 'significant', 'apparently', 'seriously', 'stunned', 'evidently', 'basically', 'impressive', 'amazingly', 'mildly', 'stellar', 'amazing', 'certainly', 'convinced', 'brilliant', 'obviously', 'skeptical', 'completely', 'significantly', 'awesome', 'kidding', 'unbelievable', 'serious', 'belief', 'clearly', 'confident', 'rubbing', 'fairly', 'consistent']
Cluster 5: ['bike', 'bicycle', 'enthusiastic', 'list', 'hesitant', 'anticipated', 'unbelievable', 'skeptical', 'anticipating', 'crowe', 'persian', 'brilliant', 'bikes', 'encouraged', 'lists', 'plant', 'plants', 'tomato', 'flyer', 'singing', 'estimate', 'cycle', 'lively', 'yell', 'birds', 'estimated', 'promising', 'abundant', 'encourage', 'array']
Cluster 6: ['horrified', 'daughter', 'niece', 'butt', '##ges', 'tina', 'pissed', 'cock', '##nction', 'parts', 'repeatedly', 'components', 'daughters', 'sister', 'disgust', 'master', '##ge', 'dev', 'continued', 'nephew', 'dick', 'jaw', 'regret', 'visitors', '##nate', 'disgusted', 'ultimately', '##rum', '##ud', '##rden']
Cluster 7: ['recipe', 'flavour', 'proportions', 'bites', 'recipes', 'sandwiches', 'bite', 'sandwich', 'outfit', 'proportion', 'texture', 'margarita', 'burger', 'beverage', 'nausea', 'brewing', 'martini', 'slices', 'dishes', 'meals', 'flavor', 'pitchers', 'package', 'packages', 'poured', 'scoop', 'wrap', 'portions', 'dinners', 'plates']
Cluster 8: ['apologized', 'apology', 'apologies', 'apologize', 'changes', 'alterations', 'change', 'thanked', 'buttons', 'fireworks', 'briefly', 'reopened', 'cantonese', 'fills', 'forgive', 'thank', 'changed', 'magazines', 'kindness', 'requests', 'refrigerator', 'cigarettes', 'coins', 'repairs', 'introduce', 'clarify', 'bottles', 'creates', 'magazine', 'promo']
Cluster 9: ['donate', 'popularity', 'favorite', 'choosing', 'celebrating', 'popular', 'debating', 'favourite', 'donated', 'celebrate', 'comparison', 'crossing', 'award', 'acknowledging', 'selling', 'donation', 'recommends', 'denver', 'choi', 'comparing', 'draw', 'awards', '##way', 'celebration', 'toronto', 'funny', 'fan', 'compare', 'drawing', 'appealing']
Cluster 10: ['employee', 'operate', 'approximately', 'employer', 'attending', 'attend', 'maintain', 'dimly', 'evening', 'someone', 'adjoining', 'afternoon', 'approx', 'agree', 'employees', 'teens', 'damn', 'operated', 'attended', 'adjacent', 'roughly', 'beforehand', 'located', 'disagree', 'fucking', 'evenings', 'maintaining', 'worker', 'uh', 'specify']
